( tool, pen )
( color, black )
( down,{ x: 230, y: 177.54166 } )
( drag,{ x: 230, y: 176.54166 } )
( drag,{ x: 230, y: 174.54166 } )
( drag,{ x: 230, y: 170.54166 } )
( drag,{ x: 231, y: 169.54166 } )
( drag,{ x: 234, y: 166.54166 } )
( drag,{ x: 236, y: 164.54166 } )
( drag,{ x: 239, y: 162.54166 } )
( drag,{ x: 243, y: 161.54166 } )
( drag,{ x: 246, y: 161.54166 } )
( drag,{ x: 248, y: 161.54166 } )
( drag,{ x: 251, y: 161.54166 } )
( drag,{ x: 254, y: 161.54166 } )
( drag,{ x: 256, y: 161.54166 } )
( drag,{ x: 258, y: 161.54166 } )
( drag,{ x: 260, y: 161.54166 } )
( drag,{ x: 262, y: 161.54166 } )
( drag,{ x: 264, y: 161.54166 } )
( drag,{ x: 266, y: 162.54166 } )
( drag,{ x: 267, y: 164.54166 } )
( drag,{ x: 270, y: 166.54166 } )
( drag,{ x: 270, y: 169.54166 } )
( drag,{ x: 271, y: 173.54166 } )
( drag,{ x: 272, y: 176.54166 } )
( drag,{ x: 272, y: 180.54166 } )
( drag,{ x: 272, y: 181.54166 } )
( drag,{ x: 272, y: 184.54166 } )
( drag,{ x: 272, y: 186.54166 } )
( drag,{ x: 272, y: 189.54166 } )
( drag,{ x: 272, y: 190.54166 } )
( drag,{ x: 272, y: 192.54166 } )
( drag,{ x: 271, y: 194.54166 } )
( drag,{ x: 268, y: 196.54166 } )
( drag,{ x: 267, y: 196.54166 } )
( drag,{ x: 264, y: 197.54166 } )
( drag,{ x: 262, y: 198.54166 } )
( drag,{ x: 259, y: 200.54166 } )
( drag,{ x: 256, y: 201.54166 } )
( drag,{ x: 252, y: 201.54166 } )
( drag,{ x: 250, y: 202.54166 } )
( drag,{ x: 246, y: 202.54166 } )
( drag,{ x: 243, y: 202.54166 } )
( drag,{ x: 242, y: 202.54166 } )
( drag,{ x: 238, y: 202.54166 } )
( drag,{ x: 235, y: 202.54166 } )
( drag,{ x: 234, y: 202.54166 } )
( drag,{ x: 230, y: 202.54166 } )
( drag,{ x: 226, y: 202.54166 } )
( drag,{ x: 223, y: 202.54166 } )
( drag,{ x: 222, y: 201.54166 } )
( drag,{ x: 219, y: 200.54166 } )
( drag,{ x: 219, y: 198.54166 } )
( drag,{ x: 216, y: 197.54166 } )
( drag,{ x: 216, y: 194.54166 } )
( drag,{ x: 215, y: 193.54166 } )
( drag,{ x: 214, y: 190.54166 } )
( drag,{ x: 214, y: 188.54166 } )
( drag,{ x: 214, y: 185.54166 } )
( drag,{ x: 214, y: 180.54166 } )
( drag,{ x: 214, y: 177.54166 } )
( drag,{ x: 214, y: 173.54166 } )
( drag,{ x: 214, y: 168.54166 } )
( drag,{ x: 214, y: 165.54166 } )
( drag,{ x: 214, y: 161.54166 } )
( drag,{ x: 214, y: 158.54166 } )
( drag,{ x: 214, y: 157.54166 } )
( drag,{ x: 214, y: 154.54166 } )
( drag,{ x: 216, y: 152.54166 } )
( drag,{ x: 219, y: 149.54166 } )
( drag,{ x: 222, y: 146.54166 } )
( drag,{ x: 223, y: 145.54166 } )
( drag,{ x: 224, y: 142.54166 } )
( drag,{ x: 228, y: 142.54166 } )
( drag,{ x: 232, y: 141.54166 } )
( drag,{ x: 236, y: 141.54166 } )
( drag,{ x: 246, y: 140.54166 } )
( drag,{ x: 251, y: 140.54166 } )
( drag,{ x: 259, y: 140.54166 } )
( drag,{ x: 267, y: 140.54166 } )
( drag,{ x: 272, y: 140.54166 } )
( drag,{ x: 278, y: 140.54166 } )
( drag,{ x: 282, y: 141.54166 } )
( drag,{ x: 286, y: 142.54166 } )
( drag,{ x: 288, y: 144.54166 } )
( drag,{ x: 292, y: 146.54166 } )
( drag,{ x: 296, y: 148.54166 } )
( drag,{ x: 298, y: 149.54166 } )
( drag,{ x: 300, y: 152.54166 } )
( drag,{ x: 303, y: 153.54166 } )
( drag,{ x: 306, y: 156.54166 } )
( drag,{ x: 307, y: 158.54166 } )
( drag,{ x: 308, y: 162.54166 } )
( drag,{ x: 310, y: 165.54166 } )
( drag,{ x: 311, y: 169.54166 } )
( drag,{ x: 312, y: 173.54166 } )
( drag,{ x: 312, y: 177.54166 } )
( drag,{ x: 312, y: 182.54166 } )
( drag,{ x: 312, y: 188.54166 } )
( drag,{ x: 312, y: 193.54166 } )
( drag,{ x: 311, y: 202.54166 } )
( drag,{ x: 308, y: 208.54166 } )
( drag,{ x: 304, y: 213.54166 } )
( drag,{ x: 300, y: 218.54166 } )
( drag,{ x: 295, y: 222.54166 } )
( drag,{ x: 290, y: 226.54166 } )
( drag,{ x: 283, y: 232.54166 } )
( drag,{ x: 275, y: 236.54166 } )
( drag,{ x: 266, y: 240.54166 } )
( drag,{ x: 259, y: 242.54166 } )
( drag,{ x: 251, y: 244.54166 } )
( drag,{ x: 244, y: 245.54166 } )
( drag,{ x: 236, y: 246.54166 } )
( drag,{ x: 226, y: 246.54166 } )
( drag,{ x: 219, y: 246.54166 } )
( drag,{ x: 211, y: 246.54166 } )
( drag,{ x: 204, y: 246.54166 } )
( drag,{ x: 198, y: 245.54166 } )
( drag,{ x: 191, y: 241.54166 } )
( drag,{ x: 184, y: 236.54166 } )
( drag,{ x: 179, y: 230.54166 } )
( drag,{ x: 174, y: 224.54166 } )
( drag,{ x: 170, y: 217.54166 } )
( drag,{ x: 167, y: 210.54166 } )
( drag,{ x: 164, y: 204.54166 } )
( drag,{ x: 164, y: 197.54166 } )
( drag,{ x: 164, y: 188.54166 } )
( drag,{ x: 164, y: 180.54166 } )
( drag,{ x: 164, y: 170.54166 } )
( drag,{ x: 167, y: 157.54166 } )
( drag,{ x: 171, y: 148.54166 } )
( drag,{ x: 176, y: 137.54166 } )
( drag,{ x: 180, y: 128.54166 } )
( drag,{ x: 186, y: 122.54166 } )
( drag,{ x: 194, y: 116.54166 } )
( drag,{ x: 199, y: 110.54166 } )
( drag,{ x: 206, y: 106.54166 } )
( drag,{ x: 212, y: 102.54166 } )
( drag,{ x: 220, y: 100.54166 } )
( drag,{ x: 227, y: 97.54166 } )
( drag,{ x: 234, y: 96.54166 } )
( drag,{ x: 240, y: 94.54166 } )
( drag,{ x: 252, y: 94.54166 } )
( drag,{ x: 262, y: 94.54166 } )
( drag,{ x: 271, y: 94.54166 } )
( drag,{ x: 283, y: 94.54166 } )
( drag,{ x: 294, y: 98.54166 } )
( drag,{ x: 304, y: 104.54166 } )
( drag,{ x: 315, y: 110.54166 } )
( drag,{ x: 324, y: 117.54166 } )
( drag,{ x: 335, y: 124.54166 } )
( drag,{ x: 342, y: 133.54166 } )
( drag,{ x: 348, y: 141.54166 } )
( drag,{ x: 354, y: 149.54166 } )
( drag,{ x: 359, y: 157.54166 } )
( drag,{ x: 366, y: 168.54166 } )
( drag,{ x: 370, y: 176.54166 } )
( drag,{ x: 374, y: 184.54166 } )
( drag,{ x: 376, y: 192.54166 } )
( drag,{ x: 378, y: 196.54166 } )
( drag,{ x: 379, y: 202.54166 } )
( drag,{ x: 380, y: 208.54166 } )
( drag,{ x: 380, y: 213.54166 } )
( drag,{ x: 380, y: 220.54166 } )
( drag,{ x: 379, y: 225.54166 } )
( drag,{ x: 367, y: 237.54166 } )
( drag,{ x: 352, y: 249.54166 } )
( drag,{ x: 332, y: 266.54166 } )
( drag,{ x: 311, y: 282.54166 } )
( drag,{ x: 290, y: 298.54166 } )
( drag,{ x: 272, y: 309.54166 } )
( drag,{ x: 252, y: 320.54166 } )
( drag,{ x: 234, y: 326.54166 } )
( drag,{ x: 215, y: 329.54166 } )
( drag,{ x: 199, y: 332.54166 } )
( drag,{ x: 183, y: 332.54166 } )
( drag,{ x: 170, y: 332.54166 } )
( drag,{ x: 159, y: 332.54166 } )
( drag,{ x: 148, y: 328.54166 } )
( drag,{ x: 138, y: 320.54166 } )
( drag,{ x: 127, y: 309.54166 } )
( drag,{ x: 118, y: 297.54166 } )
( drag,{ x: 111, y: 281.54166 } )
( drag,{ x: 102, y: 264.54166 } )
( drag,{ x: 96, y: 244.54166 } )
( drag,{ x: 92, y: 224.54166 } )
( drag,{ x: 90, y: 208.54166 } )
( drag,{ x: 88, y: 189.54166 } )
( drag,{ x: 88, y: 177.54166 } )
( drag,{ x: 88, y: 164.54166 } )
( drag,{ x: 88, y: 154.54166 } )
( drag,{ x: 91, y: 144.54166 } )
( drag,{ x: 96, y: 130.54166 } )
( drag,{ x: 104, y: 118.54166 } )
( drag,{ x: 112, y: 109.54166 } )
( drag,{ x: 119, y: 100.54166 } )
( drag,{ x: 126, y: 93.54166 } )
( drag,{ x: 134, y: 88.54166 } )
( drag,{ x: 142, y: 81.54166 } )
( drag,{ x: 152, y: 77.54166 } )
( drag,{ x: 164, y: 73.54166 } )
( drag,{ x: 175, y: 69.54166 } )
( drag,{ x: 186, y: 65.54166 } )
( drag,{ x: 199, y: 62.54166 } )
( drag,{ x: 211, y: 58.54166 } )
( drag,{ x: 223, y: 57.54166 } )
( drag,{ x: 235, y: 54.54166 } )
( drag,{ x: 247, y: 53.54166 } )
( drag,{ x: 259, y: 53.54166 } )
( drag,{ x: 272, y: 53.54166 } )
( drag,{ x: 286, y: 53.54166 } )
( drag,{ x: 299, y: 54.54166 } )
( drag,{ x: 311, y: 58.54166 } )
( drag,{ x: 323, y: 62.54166 } )
( drag,{ x: 335, y: 68.54166 } )
( drag,{ x: 348, y: 74.54166 } )
( drag,{ x: 360, y: 80.54166 } )
( drag,{ x: 371, y: 86.54166 } )
( drag,{ x: 383, y: 92.54166 } )
( drag,{ x: 394, y: 98.54166 } )
( drag,{ x: 403, y: 108.54166 } )
( drag,{ x: 411, y: 113.54166 } )
( drag,{ x: 415, y: 120.54166 } )
( drag,{ x: 419, y: 124.54166 } )
( drag,{ x: 420, y: 125.54166 } )
( up, { x: 420, y: 125.54166 } )
( color, red )
( tool, circle )
( shape, centerX: 196.92680779819682, centerY: 427.2314650230849, radius: 103.37958654031044 )
( tool, triangle )
( color, yellow )
( shape, centerX: 572.8764942794953, centerY: 529.7716358811718, radius: 186.4599282564843 )
( tool, fbicon )
( sticker, { x: 462, y: 256.54167 } )
( sticker, { x: 584, y: 256.54167 } )
( sticker, { x: 726, y: 254.54167 } )
( sticker, { x: 699, y: 352.54167 } )
( sticker, { x: 795, y: 420.54167 } )
( sticker, { x: 390, y: 496.54167 } )
( sticker, { x: 239, y: 586.54167 } )
( tool, pen )
( size, md )
( color, green )
( down,{ x: 514, y: 61.54166 } )
( drag,{ x: 514, y: 64.54166 } )
( drag,{ x: 514, y: 72.54166 } )
( drag,{ x: 514, y: 82.54166 } )
( drag,{ x: 514, y: 92.54166 } )
( drag,{ x: 514, y: 104.54166 } )
( drag,{ x: 514, y: 117.54166 } )
( drag,{ x: 514, y: 129.54166 } )
( drag,{ x: 514, y: 144.54166 } )
( drag,{ x: 514, y: 152.54166 } )
( drag,{ x: 512, y: 165.54166 } )
( drag,{ x: 512, y: 173.54166 } )
( drag,{ x: 512, y: 181.54166 } )
( drag,{ x: 512, y: 184.54166 } )
( drag,{ x: 512, y: 186.54166 } )
( drag,{ x: 512, y: 188.54166 } )
( up, { x: 512, y: 188.54166 } )
( down,{ x: 516, y: 128.54166 } )
( drag,{ x: 519, y: 128.54166 } )
( drag,{ x: 523, y: 128.54166 } )
( drag,{ x: 535, y: 128.54166 } )
( drag,{ x: 542, y: 128.54166 } )
( drag,{ x: 544, y: 128.54166 } )
( drag,{ x: 550, y: 128.54166 } )
( drag,{ x: 551, y: 128.54166 } )
( drag,{ x: 552, y: 128.54166 } )
( drag,{ x: 555, y: 128.54166 } )
( drag,{ x: 558, y: 128.54166 } )
( drag,{ x: 559, y: 128.54166 } )
( drag,{ x: 562, y: 128.54166 } )
( drag,{ x: 563, y: 128.54166 } )
( drag,{ x: 564, y: 128.54166 } )
( drag,{ x: 566, y: 128.54166 } )
( up, { x: 566, y: 128.54166 } )
( down,{ x: 570, y: 69.54166 } )
( drag,{ x: 570, y: 72.54166 } )
