( color, yellow )
( size, sm )
( tool, pen )
( down,{ x: 15, y: 5.54166 } )
( drag,{ x: 18, y: 5.54166 } )
( drag,{ x: 22, y: 5.54166 } )
( drag,{ x: 42, y: 5.54166 } )
( drag,{ x: 67, y: 18.54166 } )
( drag,{ x: 82, y: 28.54166 } )
( drag,{ x: 115, y: 53.54166 } )
( drag,{ x: 142, y: 73.54166 } )
( drag,{ x: 168, y: 93.54166 } )
( drag,{ x: 196, y: 117.54166 } )
( drag,{ x: 206, y: 126.54166 } )
( drag,{ x: 212, y: 132.54166 } )
( drag,{ x: 214, y: 132.54166 } )
( up, { x: 214, y: 132.54166 } )
( down,{ x: 28, y: 69.54166 } )
( drag,{ x: 31, y: 69.54166 } )
( drag,{ x: 32, y: 69.54166 } )
( drag,{ x: 36, y: 69.54166 } )
( drag,{ x: 63, y: 69.54166 } )
( drag,{ x: 102, y: 82.54166 } )
( drag,{ x: 131, y: 109.54166 } )
( drag,{ x: 146, y: 125.54166 } )
( drag,{ x: 158, y: 141.54166 } )
( drag,{ x: 160, y: 144.54166 } )
( up, { x: 160, y: 144.54166 } )
( down,{ x: 26, y: 110.54166 } )
( drag,{ x: 28, y: 110.54166 } )
( drag,{ x: 48, y: 110.54166 } )
( drag,{ x: 104, y: 117.54166 } )
( drag,{ x: 143, y: 140.54166 } )
( drag,{ x: 167, y: 156.54166 } )
( drag,{ x: 188, y: 178.54166 } )
( drag,{ x: 196, y: 188.54166 } )
( drag,{ x: 198, y: 190.54166 } )
( up, { x: 198, y: 190.54166 } )
( down,{ x: 22, y: 168.54166 } )
( drag,{ x: 23, y: 168.54166 } )
( drag,{ x: 58, y: 168.54166 } )
( drag,{ x: 98, y: 185.54166 } )
( drag,{ x: 146, y: 218.54166 } )
( drag,{ x: 186, y: 252.54166 } )
( drag,{ x: 204, y: 268.54166 } )
( drag,{ x: 214, y: 278.54166 } )
( drag,{ x: 215, y: 278.54166 } )
( drag,{ x: 210, y: 272.54166 } )
( up, { x: 210, y: 272.54166 } )
( down,{ x: 44, y: 232.54166 } )
( drag,{ x: 46, y: 232.54166 } )
( drag,{ x: 51, y: 232.54166 } )
( drag,{ x: 63, y: 232.54166 } )
( drag,{ x: 139, y: 245.54166 } )
( drag,{ x: 188, y: 258.54166 } )
( drag,{ x: 247, y: 282.54166 } )
( drag,{ x: 266, y: 289.54166 } )
( drag,{ x: 282, y: 296.54166 } )
( drag,{ x: 282, y: 297.54166 } )
( up, { x: 282, y: 297.54166 } )
( down,{ x: 84, y: 325.54166 } )
( drag,{ x: 84, y: 325.54166 } )
( drag,{ x: 94, y: 325.54166 } )
( drag,{ x: 223, y: 325.54166 } )
( drag,{ x: 323, y: 330.54166 } )
( drag,{ x: 407, y: 348.54166 } )
( drag,{ x: 420, y: 352.54166 } )
( drag,{ x: 428, y: 354.54166 } )
